SCHNAME,ADDRESS1,TOWN,PCODE,TELNUM,ADMPOL_PT,GEND1618,AGERANGE,TPUP1618,TALLPPE_ALEV_1618,TB3PTSE,YEAR,YEAR_SCORES,full_address,Latitude,Longitude
Croydon High School,Old Farleigh Road,South Croydon,CR2 8YB,2082607500,,GIRLS, 3-19,86.0,45.843333333333334,45.43333333333334,2023-2024,2021-2022: 48.85<br>2022-2023: 43.80<br>2023-2024: 43.65,"Old Farleigh Road, South Croydon, CR2 8YB",51.340128495982,-0.061008101358
Bromley High School,Blackbrook Lane,Bromley,BR1 2TW,2087817000,,GIRLS, 4-18,130.0,45.449999999999996,45.42666666666667,2023-2024,2021-2022: 48.58<br>2022-2023: 43.58<br>2023-2024: 44.12,"Blackbrook Lane, Bromley, BR1 2TW",51.395533148384,0.055717150707
Berkhamsted School,Overton House,Berkhamsted,HP4 2DJ,1442358000,,MIXED, 11-19,429.0,44.95666666666667,45.416666666666664,2023-2024,2021-2022: 49.29<br>2022-2023: 41.50<br>2023-2024: 45.46,"Overton House, Berkhamsted, HP4 2DJ",51.759337019995,-0.561959585437
Nottingham Girls' High School,9 Arboretum Street,,NG1 4JB,1159417663,,GIRLS, 3-19,118.0,45.31666666666666,45.38999999999999,2023-2024,2021-2022: 47.69<br>2022-2023: 44.33<br>2023-2024: 44.15,"9 Arboretum Street, nan, NG1 4JB",52.962539984362,-1.156571377607
Oundle School,The Great Hall,Northamptonshire,PE8 4GH,1832277122,,MIXED, 10-19,416.0,47.00333333333333,45.36000000000001,2023-2024,2021-2022: 47.70<br>2022-2023: 43.25<br>2023-2024: 45.13,"The Great Hall, Northamptonshire, PE8 4GH",52.485620745,-0.476655085
The Portsmouth Grammar School,High Street,Portsmouth,PO1 2LN,2392360036,,MIXED, 3-18,275.0,45.23666666666666,45.35666666666666,2023-2024,2021-2022: 48.06<br>2022-2023: 44.48<br>2023-2024: 43.53,"High Street, Portsmouth, PO1 2LN",50.792445994817,-1.099747480405
Forest School,College Place,London,E17 3PY,2085201744,,MIXED, 4-18,257.0,45.419999999999995,45.31999999999999,2023-2024,2021-2022: 47.66<br>2022-2023: 43.98<br>2023-2024: 44.32,"College Place, London, E17 3PY",51.585501000092,0.009110039104
Bristol Grammar School,University Road,Bristol,BS8 1SR,1179736006,,MIXED, 4-18,336.0,45.44,45.223333333333336,2023-2024,2021-2022: 47.40<br>2022-2023: 44.60<br>2023-2024: 43.67,"University Road, Bristol, BS8 1SR",51.457677482721,-2.604557234843
Sir William Borlase's Grammar School,West Street,Marlow,SL7 2BR,1628816500,SEL,MIXED, 11-18,448.0,45.39333333333334,45.223333333333336,2023-2024,2021-2022: 47.29<br>2022-2023: 44.68<br>2023-2024: 43.70,"West Street, Marlow, SL7 2BR",51.570011955486,-0.782063794686
Sir William Perkins's School,Guildford Road,,KT16 9BN,1932574900,,GIRLS, 11-19,117.0,45.6,45.22,2023-2024,2021-2022: 48.04<br>2022-2023: 43.79<br>2023-2024: 43.83,"Guildford Road, nan, KT16 9BN",51.386789000308,-0.511481333762
